"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.lsposed.manager.util","C:\User\pavan\Projects\LSPosed\app\src\debug\java\org\lsposed\manager\util\Telemetry.java","3","49","Avoid unused private methods such as 'addPatchDeviceListener()'.","Best Practices","UnusedPrivateMethod"
"1","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","45","Possible God Class (WMC=190, ATFD=103, TCC=16.543%)","Design","GodClass"
"2","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","45","The class 'SubtitleCollapsingToolbarLayout' has a total cyclomatic complexity of 190 (highest 18).","Design","CyclomaticComplexity"
"3","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","93","The constructor 'SubtitleCollapsingToolbarLayout(Context, AttributeSet, int)' has an NPath complexity of 256, current threshold is 200","Design","NPathComplexity"
"5","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","215","The method 'draw(Canvas)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"6","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","344","Access to field `UNSPECIFIED` on foreign value `MeasureSpec` (degree 1)","Design","LawOfDemeter"
"7","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","362","The method 'onLayout(boolean, int, int, int, int)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"8","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","362","The method 'onLayout(boolean, int, int, int, int)' has an NPath complexity of 2800, current threshold is 200","Design","NPathComplexity"
"9","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","399","Access to field `left` on foreign value `tmpRect` (degree 1)","Design","LawOfDemeter"
"10","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","400","Access to field `top` on foreign value `tmpRect` (degree 1)","Design","LawOfDemeter"
"11","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","401","Access to field `right` on foreign value `tmpRect` (degree 1)","Design","LawOfDemeter"
"12","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","402","Access to field `bottom` on foreign value `tmpRect` (degree 1)","Design","LawOfDemeter"
"13","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","407","Access to field `top` on foreign value `tmpRect` (degree 1)","Design","LawOfDemeter"
"14","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","435","Access to field `topMargin` on foreign value `mlp` (degree 1)","Design","LawOfDemeter"
"15","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","435","Access to field `bottomMargin` on foreign value `mlp` (degree 1)","Design","LawOfDemeter"
"16","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","1213","Access to field `bottomMargin` on foreign value `lp` (degree 1)","Design","LawOfDemeter"
"17","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","1236","Access to field `collapseMode` on foreign value `lp` (degree 1)","Design","LawOfDemeter"
"18","com.google.android.material.appbar","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","1242","Access to field `parallaxMult` on foreign value `lp` (degree 1)","Design","LawOfDemeter"
"1","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","35","Possible God Class (WMC=231, ATFD=56, TCC=6.904%)","Design","GodClass"
"2","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","35","The class 'SubtitleCollapsingTextHelper' has a total cyclomatic complexity of 231 (highest 24).","Design","CyclomaticComplexity"
"3","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","39","Access to field `SDK_INT` on foreign value `Build.VERSION` (degree 1)","Design","LawOfDemeter"
"5","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","229","Access to field `left` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"6","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","229","Access to field `left` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"7","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","229","Access to field `right` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"8","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","230","Access to field `top` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"9","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","230","Access to field `top` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"10","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","231","Access to field `right` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"11","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","231","Access to field `left` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"12","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","231","Access to field `right` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"13","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","232","Access to field `bottom` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"14","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","232","Access to field `top` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"15","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","246","Access to field `left` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"16","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","246","Access to field `left` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"17","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","246","Access to field `right` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"18","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","247","Access to field `top` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"19","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","247","Access to field `top` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"20","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","248","Access to field `right` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"21","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","248","Access to field `left` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"22","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","248","Access to field `right` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"23","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","249","Access to field `bottom` on foreign value `bounds` (degree 1)","Design","LawOfDemeter"
"24","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","249","Access to field `top` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"25","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","343","Access to field `shadowColor` on foreign value `textAppearance` (degree 1)","Design","LawOfDemeter"
"26","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","373","Access to field `shadowColor` on foreign value `textAppearance` (degree 1)","Design","LawOfDemeter"
"27","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","404","Access to field `shadowColor` on foreign value `textAppearance` (degree 1)","Design","LawOfDemeter"
"28","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","434","Access to field `shadowColor` on foreign value `textAppearance` (degree 1)","Design","LawOfDemeter"
"29","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","703","The method 'calculateBaseOffsets()' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"30","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","703","The method 'calculateBaseOffsets()' has an NPath complexity of 40960, current threshold is 200","Design","NPathComplexity"
"31","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","722","Avoid unused local variables such as 'subtitleOffset'.","Best Practices","UnusedLocalVariable"
"32","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","730","Access to field `top` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"33","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","741","Access to field `top` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"34","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","742","Access to field `top` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"35","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","750","Access to field `right` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"36","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","751","Access to field `right` on foreign value `collapsedBounds` (degree 1)","Design","LawOfDemeter"
"37","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","781","Access to field `top` on foreign value `expandedBounds` (degree 1)","Design","LawOfDemeter"
"38","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","793","Access to field `bottom` on foreign value `expandedBounds` (degree 1)","Design","LawOfDemeter"
"39","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","797","Access to field `top` on foreign value `expandedBounds` (degree 1)","Design","LawOfDemeter"
"40","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","813","Access to field `right` on foreign value `expandedBounds` (degree 1)","Design","LawOfDemeter"
"41","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","814","Access to field `right` on foreign value `expandedBounds` (degree 1)","Design","LawOfDemeter"
"42","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","831","Access to field `left` on foreign value `currentBounds` (degree 1)","Design","LawOfDemeter"
"43","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","832","Access to field `top` on foreign value `currentBounds` (degree 1)","Design","LawOfDemeter"
"44","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","833","Access to field `right` on foreign value `currentBounds` (degree 1)","Design","LawOfDemeter"
"45","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","834","Access to field `bottom` on foreign value `currentBounds` (degree 1)","Design","LawOfDemeter"
"46","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","837","The method 'draw(Canvas)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"47","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","947","The method 'calculateUsingTitleTextSize(float)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"48","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","1021","The method 'calculateUsingSubtitleTextSize(float)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"49","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","1253","Access to field `left` on foreign value `r` (degree 1)","Design","LawOfDemeter"
"50","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","1253","Access to field `top` on foreign value `r` (degree 1)","Design","LawOfDemeter"
"51","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","1253","Access to field `right` on foreign value `r` (degree 1)","Design","LawOfDemeter"
"52","com.google.android.material.internal","C:\User\pavan\Projects\LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","1253","Access to field `bottom` on foreign value `r` (degree 1)","Design","LawOfDemeter"
"1","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","92","Access to field `SDK_INT` on foreign value `Build.VERSION` (degree 1)","Design","LawOfDemeter"
"2","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","92","Access to field `P` on foreign value `Build.VERSION_CODES` (degree 1)","Design","LawOfDemeter"
"3","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","149","Access to field `SDK_INT` on foreign value `Build.VERSION` (degree 1)","Design","LawOfDemeter"
"4","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","149","Access to field `R` on foreign value `Build.VERSION_CODES` (degree 1)","Design","LawOfDemeter"
"5","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","172","Access to field `VERSION_NAME` on foreign value `BuildConfig` (degree 1)","Design","LawOfDemeter"
"6","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","172","Access to field `VERSION_CODE` on foreign value `BuildConfig` (degree 1)","Design","LawOfDemeter"
"7","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","178","Access to field `SDK_INT` on foreign value `Build.VERSION` (degree 1)","Design","LawOfDemeter"
"8","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","178","Access to field `Q` on foreign value `Build.VERSION_CODES` (degree 1)","Design","LawOfDemeter"
"9","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","225","The method 'onReceive(Context, Intent)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"10","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\App.java","3","255","Access to field `DEBUG` on foreign value `BuildConfig` (degree 1)","Design","LawOfDemeter"
"1","org.lsposed.manager","C:\User\pavan\Projects\LSPosed\app\src\main\java\org\lsposed\manager\ConfigManager.java","3","42","Possible God Class (WMC=74, ATFD=54, TCC=0.000%)","Design","GodClass"
