"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.stfalcon.chatkit.commons","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\commons\InputTrackingRecyclerViewAdapter.java","3","29","Access to field `itemView` on foreign value `mRecyclerView.findViewHolderForAdapterPosition(mSelectedItem)` (degree 1)","Design","LawOfDemeter"
"2","com.stfalcon.chatkit.commons","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\commons\InputTrackingRecyclerViewAdapter.java","3","42","Access to field `itemView` on foreign value `mRecyclerView.findViewHolderForAdapterPosition(mSelectedItem)` (degree 1)","Design","LawOfDemeter"
"1","com.stfalcon.chatkit.commons.models","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\commons\models\IMessage.java","3","55","Call to `getUser` on foreign value `message` (degree 1)","Design","LawOfDemeter"
"1","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogListStyle.java","3","31","The class 'DialogListStyle' is suspected to be a Data Class (WOC=3.125%, NOPA=0, NOAM=31, WMC=33)","Design","DataClass"
"1","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","473","The class 'BaseDialogViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"3","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","540","The method 'applyStyle()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"4","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","540","The method 'applyStyle()' has an NPath complexity of 385, current threshold is 200","Design","NPathComplexity"
"5","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","563","Access to field `width` on foreign value `ivAvatar.getLayoutParams()` (degree 1)","Design","LawOfDemeter"
"6","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","564","Access to field `height` on foreign value `ivAvatar.getLayoutParams()` (degree 1)","Design","LawOfDemeter"
"7","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","569","Access to field `width` on foreign value `ivLastMessageUser.getLayoutParams()` (degree 1)","Design","LawOfDemeter"
"8","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","570","Access to field `height` on foreign value `ivLastMessageUser.getLayoutParams()` (degree 1)","Design","LawOfDemeter"
"9","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","634","The method 'onBind(DIALOG)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"10","com.stfalcon.chatkit.dialogs","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\dialogs\DialogsListAdapter.java","3","634","The method 'onBind(DIALOG)' has an NPath complexity of 46080, current threshold is 200","Design","NPathComplexity"
"1","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","37","Possible God Class (WMC=70, ATFD=199, TCC=15.238%)","Design","GodClass"
"2","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","78","Access to field `holder` on foreign value `this.incomingTextConfig` (degree 1)","Design","LawOfDemeter"
"4","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","95","Access to field `holder` on foreign value `this.incomingTextConfig` (degree 1)","Design","LawOfDemeter"
"5","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","97","Access to field `payload` on foreign value `this.incomingTextConfig` (degree 1)","Design","LawOfDemeter"
"6","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","109","Access to field `holder` on foreign value `this.incomingTextConfig` (degree 1)","Design","LawOfDemeter"
"7","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","123","Access to field `holder` on foreign value `this.incomingTextConfig` (degree 1)","Design","LawOfDemeter"
"8","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","124","Access to field `payload` on foreign value `this.incomingTextConfig` (degree 1)","Design","LawOfDemeter"
"9","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","148","Access to field `payload` on foreign value `this.incomingTextConfig` (degree 1)","Design","LawOfDemeter"
"10","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","162","Access to field `holder` on foreign value `this.outcomingTextConfig` (degree 1)","Design","LawOfDemeter"
"11","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","179","Access to field `holder` on foreign value `this.outcomingTextConfig` (degree 1)","Design","LawOfDemeter"
"12","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","181","Access to field `payload` on foreign value `this.outcomingTextConfig` (degree 1)","Design","LawOfDemeter"
"13","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","193","Access to field `holder` on foreign value `this.outcomingTextConfig` (degree 1)","Design","LawOfDemeter"
"14","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","207","Access to field `holder` on foreign value `this.outcomingTextConfig` (degree 1)","Design","LawOfDemeter"
"15","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","208","Access to field `payload` on foreign value `this.outcomingTextConfig` (degree 1)","Design","LawOfDemeter"
"16","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","232","Access to field `payload` on foreign value `this.outcomingTextConfig` (degree 1)","Design","LawOfDemeter"
"17","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","246","Access to field `holder` on foreign value `this.incomingImageConfig` (degree 1)","Design","LawOfDemeter"
"18","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","263","Access to field `holder` on foreign value `this.incomingImageConfig` (degree 1)","Design","LawOfDemeter"
"19","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","265","Access to field `payload` on foreign value `this.incomingImageConfig` (degree 1)","Design","LawOfDemeter"
"20","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","277","Access to field `holder` on foreign value `this.incomingImageConfig` (degree 1)","Design","LawOfDemeter"
"21","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","291","Access to field `holder` on foreign value `this.incomingImageConfig` (degree 1)","Design","LawOfDemeter"
"22","com.stfalcon.chatkit.messages","C:\User\pavan\Projects\SmartTubeNext\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java","3","292","Access to field `payload` on foreign value `this.incomingImageConfig` (degree 1)","Design","LawOfDemeter"
