"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","80","Possible God Class (WMC=51, ATFD=25, TCC=20.644%)","Design","GodClass"
"2","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","351","Possible God Class (WMC=56, ATFD=16, TCC=17.196%)","Design","GodClass"
"4","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","355","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","423","Access to field `id_` on foreign value `result` (degree 1)","Design","LawOfDemeter"
"6","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","426","Access to field `payload_` on foreign value `result` (degree 1)","Design","LawOfDemeter"
"7","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","480","Access to field `id_` on foreign value `other` (degree 1)","Design","LawOfDemeter"
"8","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","498","The method 'mergeFrom(CodedInputStream, ExtensionRegistryLite)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"9","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","756","Possible God Class (WMC=51, ATFD=25, TCC=20.644%)","Design","GodClass"
"10","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","759","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"11","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","1027","Possible God Class (WMC=56, ATFD=16, TCC=17.196%)","Design","GodClass"
"12","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","1031","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"13","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","1099","Access to field `id_` on foreign value `result` (degree 1)","Design","LawOfDemeter"
"14","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","1102","Access to field `payload_` on foreign value `result` (degree 1)","Design","LawOfDemeter"
"15","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","1156","Access to field `id_` on foreign value `other` (degree 1)","Design","LawOfDemeter"
"16","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\Echo.java","3","1174","The method 'mergeFrom(CodedInputStream, ExtensionRegistryLite)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.beam.testinfra.mockapis.echo.v1","C:\User\pavan\Projects\beam\.test-infra\mock-apis\src\main\java\org\apache\beam\testinfra\mockapis\echo\v1\EchoServiceGrpc.java","3","66","Access to field `UNARY` on foreign value `io.grpc.MethodDescriptor.MethodType` (degree 1)","Design","LawOfDemeter"
"1","org.apache.beam.validate.runner.model","C:\User\pavan\Projects\beam\.test-infra\validate-runner\src\main\java\org\apache\beam\validate\runner\model\CaseResult.java","3","26","The class 'CaseResult' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=8, WMC=15)","Design","DataClass"
"1","org.apache.beam.validate.runner.model","C:\User\pavan\Projects\beam\.test-infra\validate-runner\src\main\java\org\apache\beam\validate\runner\model\Configuration.java","3","23","The class 'Configuration' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
"1","org.apache.beam.examples.complete.cdap.options","C:\User\pavan\Projects\beam\examples\java\cdap\src\main\java\org\apache\beam\examples\complete\cdap\options\BaseCdapOptions.java","3","32","Access to field `REFERENCE_NAME_DESCRIPTION` on foreign value `Constants.Reference` (degree 1)","Design","LawOfDemeter"
"1","org.apache.beam.examples","C:\User\pavan\Projects\beam\examples\java\src\main\java\org\apache\beam\examples\KafkaPassengerCountJson.java","3","138","The class 'VendorToPassengerDTO' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
