"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.netflix.conductor.annotationsprocessor.protogen","C:\User\pavan\Projects\conductor\annotations-processor\src\main\java\com\netflix\conductor\annotationsprocessor\protogen\Message.java","3","67","Call to `getAbstractType` on foreign value `(MessageField) field` (degree 1)","Design","LawOfDemeter"
"2","com.netflix.conductor.annotationsprocessor.protogen","C:\User\pavan\Projects\conductor\annotations-processor\src\main\java\com\netflix\conductor\annotationsprocessor\protogen\Message.java","3","89","Call to `getAbstractType` on foreign value `(MessageField) field` (degree 1)","Design","LawOfDemeter"
"1","com.netflix.conductor.annotationsprocessor.protogen","C:\User\pavan\Projects\conductor\annotations-processor\src\main\java\com\netflix\conductor\annotationsprocessor\protogen\ProtoFile.java","3","22","The class 'ProtoFile' is suspected to be a Data Class (WOC=28.571%, NOPA=1, NOAM=5, WMC=8)","Design","DataClass"
"1","com.netflix.conductor.annotationsprocessor.protogen","C:\User\pavan\Projects\conductor\annotations-processor\src\main\java\com\netflix\conductor\annotationsprocessor\protogen\ProtoGenTask.java","3","18","The class 'ProtoGenTask' is suspected to be a Data Class (WOC=15.789%, NOPA=0, NOAM=16, WMC=23)","Design","DataClass"
"1","com.netflix.conductor.s3.config","C:\User\pavan\Projects\conductor\awss3-storage\src\main\java\com\netflix\conductor\s3\config\S3Properties.java","3","22","The class 'S3Properties' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","com.netflix.conductor.s3.storage","C:\User\pavan\Projects\conductor\awss3-storage\src\main\java\com\netflix\conductor\s3\storage\S3PayloadStorage.java","3","78","Access to field `WRITE` on foreign value `Operation` (degree 1)","Design","LawOfDemeter"
"1","com.netflix.conductor.sqs.config","C:\User\pavan\Projects\conductor\awssqs-event-queue\src\main\java\com\netflix\conductor\sqs\config\SQSEventQueueProperties.java","3","22","The class 'SQSEventQueueProperties' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","com.netflix.conductor.sqs.eventqueue","C:\User\pavan\Projects\conductor\awssqs-event-queue\src\main\java\com\netflix\conductor\sqs\eventqueue\SQSObservableQueue.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.netflix.conductor.cassandra.config","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\config\CassandraProperties.java","3","24","The class 'CassandraProperties' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=26, WMC=26)","Design","DataClass"
"1","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraBaseDAO.java","3","268","The class 'WorkflowMetadata' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraEventHandlerDAO.java","3","116","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"1","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraExecutionDAO.java","3","44","Possible God Class (WMC=105, ATFD=194, TCC=25.714%)","Design","GodClass"
"2","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraExecutionDAO.java","3","44","The class 'CassandraExecutionDAO' has a total cyclomatic complexity of 105 (highest 10).","Design","CyclomaticComplexity"
"3","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraExecutionDAO.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraExecutionDAO.java","3","161","Access to field `IN_PROGRESS` on foreign value `TaskModel.Status` (degree 1)","Design","LawOfDemeter"
"5","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraExecutionDAO.java","3","260","Access to field `IN_PROGRESS` on foreign value `TaskModel.Status` (degree 1)","Design","LawOfDemeter"
"6","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraExecutionDAO.java","3","373","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"7","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraExecutionDAO.java","3","496","The method 'getWorkflow(String, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraExecutionDAO.java","3","509","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"1","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraMetadataDAO.java","3","55","Possible God Class (WMC=60, ATFD=72, TCC=32.749%)","Design","GodClass"
"2","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraMetadataDAO.java","3","225","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"3","com.netflix.conductor.cassandra.dao","C:\User\pavan\Projects\conductor\cassandra-persistence\src\main\java\com\netflix\conductor\cassandra\dao\CassandraMetadataDAO.java","3","277","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
