"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.dataease.chart.charts.impl","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\DefaultChartHandler.java","3","45","Possible God Class (WMC=126, ATFD=180, TCC=1.429%)","Design","GodClass"
"2","io.dataease.chart.charts.impl","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\DefaultChartHandler.java","3","45","The class 'DefaultChartHandler' has a total cyclomatic complexity of 126 (highest 24).","Design","CyclomaticComplexity"
"3","io.dataease.chart.charts.impl","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\DefaultChartHandler.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","io.dataease.chart.charts.impl","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\DefaultChartHandler.java","3","188","The method 'getDynamicAssistFields(ChartViewDTO)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","io.dataease.chart.charts.impl","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\DefaultChartHandler.java","3","380","The method 'quickCalc(List<ChartViewFieldDTO>, List<ChartViewFieldDTO>, List<String[]>)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"6","io.dataease.chart.charts.impl","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\DefaultChartHandler.java","3","478","The method 'calcLastTime(String, String, String, String)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"7","io.dataease.chart.charts.impl","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\DefaultChartHandler.java","3","570","The method 'checkYoyFilter(List<ChartExtFilterDTO>, List<ChartViewFieldDTO>)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","io.dataease.chart.charts.impl.bar","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\bar\BarHandler.java","3","44","Avoid unused local variables such as 'needOrder'.","Best Practices","UnusedLocalVariable"
"2","io.dataease.chart.charts.impl.bar","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\bar\BarHandler.java","3","45","Avoid unused local variables such as 'crossDs'.","Best Practices","UnusedLocalVariable"
"1","io.dataease.chart.charts.impl.bar","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\bar\GroupBarHandler.java","3","44","Access to field `DRILL` on foreign value `FieldSource` (degree 1)","Design","LawOfDemeter"
"2","io.dataease.chart.charts.impl.bar","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\bar\GroupBarHandler.java","3","46","Avoid unused local variables such as 'drillFilters'.","Best Practices","UnusedLocalVariable"
"3","io.dataease.chart.charts.impl.bar","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\bar\GroupBarHandler.java","3","69","Access to field `DRILL` on foreign value `FieldSource` (degree 1)","Design","LawOfDemeter"
"1","io.dataease.chart.charts.impl.bar","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\bar\RangeBarHandler.java","3","24","The method 'formatAxis(ChartViewDTO)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","io.dataease.chart.charts.impl.bar","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\bar\StackBarHandler.java","3","47","Access to field `DRILL` on foreign value `FieldSource` (degree 1)","Design","LawOfDemeter"
"2","io.dataease.chart.charts.impl.bar","C:\User\pavan\Projects\dataease\core\core-backend\src\main\java\io\dataease\chart\charts\impl\bar\StackBarHandler.java","3","49","Avoid unused local variables such as 'drillFilters'.","Best Practices","UnusedLocalVariable"
