"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.iceberg.aliyun","C:\User\pavan\Projects\iceberg\aliyun\src\main\java\org\apache\iceberg\aliyun\AliyunProperties.java","3","26","The class 'AliyunProperties' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=5, WMC=7)","Design","DataClass"
"1","org.apache.iceberg.aliyun.oss","C:\User\pavan\Projects\iceberg\aliyun\src\test\java\org\apache\iceberg\aliyun\oss\TestOSSFileIO.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg.aliyun.oss","C:\User\pavan\Projects\iceberg\aliyun\src\test\java\org\apache\iceberg\aliyun\oss\TestOSSOutputFile.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg.aliyun.oss.mock","C:\User\pavan\Projects\iceberg\aliyun\src\test\java\org\apache\iceberg\aliyun\oss\mock\AliyunOSSMockApp.java","3","122","The method 'convert(String)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.iceberg.aliyun.oss.mock","C:\User\pavan\Projects\iceberg\aliyun\src\test\java\org\apache\iceberg\aliyun\oss\mock\AliyunOSSMockLocalController.java","3","292","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg.aliyun.oss.mock","C:\User\pavan\Projects\iceberg\aliyun\src\test\java\org\apache\iceberg\aliyun\oss\mock\AliyunOSSMockLocalStore.java","3","65","Access to field `PROP_ROOT_DIR` on foreign value `AliyunOSSMockApp` (degree 1)","Design","LawOfDemeter"
"1","org.apache.iceberg.aliyun.oss.mock","C:\User\pavan\Projects\iceberg\aliyun\src\test\java\org\apache\iceberg\aliyun\oss\mock\ObjectMetadata.java","3","23","The class 'ObjectMetadata' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=16, WMC=16)","Design","DataClass"
"1","org.apache.iceberg.aliyun.oss.mock","C:\User\pavan\Projects\iceberg\aliyun\src\test\java\org\apache\iceberg\aliyun\oss\mock\TestLocalAliyunOSS.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\BatchScanAdapter.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\ContentFile.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\DataOperations.java","3","28","The class 'DataOperations' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\ManageSnapshots.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\ManifestFile.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\Metrics.java","3","31","The class 'Metrics' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=6, WMC=19)","Design","DataClass"
"2","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\Metrics.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\PartitionSpec.java","3","52","Possible God Class (WMC=64, ATFD=15, TCC=26.769%)","Design","GodClass"
"2","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\PartitionSpec.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\PartitionSpec.java","3","364","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\Scan.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\Schema.java","3","53","Possible God Class (WMC=74, ATFD=8, TCC=4.127%)","Design","GodClass"
"2","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\Schema.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\Schema.java","3","529","Avoid unused private methods such as 'identifierFieldToString(NestedField)'.","Best Practices","UnusedPrivateMethod"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\Snapshot.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\SnapshotRef.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\SnapshotRef.java","3","58","Access to field `BRANCH` on foreign value `SnapshotRefType` (degree 1)","Design","LawOfDemeter"
"3","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\SnapshotRef.java","3","62","Access to field `TAG` on foreign value `SnapshotRefType` (degree 1)","Design","LawOfDemeter"
"1","org.apache.iceberg","C:\User\pavan\Projects\iceberg\api\src\main\java\org\apache\iceberg\SortOrder.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
