"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.metersphere.listener","C:\User\pavan\Projects\metersphere\backend\app\src\main\java\io\metersphere\listener\AppStartListener.java","3","49","Access to field `PREPARED` on foreign value `ExportConstants.ExportState` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.listener","C:\User\pavan\Projects\metersphere\backend\app\src\main\java\io\metersphere\listener\AppStartListener.java","3","51","Access to field `STOP` on foreign value `ExportConstants.ExportState` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java","3","18","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java","3","23","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java","3","34","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java","3","39","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugBlob.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugBlobExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugBlobExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugBlobExample.java","3","75","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugBlobExample.java","3","185","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugExample.java","3","66","The class 'GeneratedCriteria' has a total cyclomatic complexity of 176 (highest 4).","Design","CyclomaticComplexity"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugExample.java","3","75","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugExample.java","3","925","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModule.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModule.java","3","18","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModule.java","3","23","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModule.java","3","28","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModule.java","3","33","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModuleExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModuleExample.java","3","66","The class 'GeneratedCriteria' has a total cyclomatic complexity of 134 (highest 4).","Design","CyclomaticComplexity"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModuleExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModuleExample.java","3","75","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModuleExample.java","3","715","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","14","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","19","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","24","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","35","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","46","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"6","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","50","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"7","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","55","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"8","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","60","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"9","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","64","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"10","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","69","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"11","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinition.java","3","95","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionBlob.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionBlobExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionBlobExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionBlobExample.java","3","75","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionBlobExample.java","3","185","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionCustomField.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionCustomField.java","3","18","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionCustomFieldExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionCustomFieldExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionCustomFieldExample.java","3","75","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionCustomFieldExample.java","3","325","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionExample.java","3","66","The class 'GeneratedCriteria' has a total cyclomatic complexity of 317 (highest 4).","Design","CyclomaticComplexity"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionExample.java","3","100","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionExample.java","3","101","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"6","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionExample.java","3","1619","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionFollower.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionFollower.java","3","18","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionFollowerExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionFollowerExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionFollowerExample.java","3","75","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionFollowerExample.java","3","255","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMock.java","3","14","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMock.java","3","28","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMock.java","3","39","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMock.java","3","44","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMock.java","3","49","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockConfig.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockConfigExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockConfigExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockConfigExample.java","3","75","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockConfigExample.java","3","185","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockExample.java","3","66","The class 'GeneratedCriteria' has a total cyclomatic complexity of 197 (highest 4).","Design","CyclomaticComplexity"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockExample.java","3","100","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockExample.java","3","101","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"6","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionMockExample.java","3","1019","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModule.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModule.java","3","18","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModule.java","3","23","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModule.java","3","28","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModule.java","3","33","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModuleExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModuleExample.java","3","66","The class 'GeneratedCriteria' has a total cyclomatic complexity of 134 (highest 4).","Design","CyclomaticComplexity"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModuleExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModuleExample.java","3","75","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionModuleExample.java","3","715","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionSwagger.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionSwagger.java","3","21","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionSwagger.java","3","26","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionSwagger.java","3","43","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionSwaggerExample.java","3","49","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionSwaggerExample.java","3","66","The class 'GeneratedCriteria' has a total cyclomatic complexity of 148 (highest 4).","Design","CyclomaticComplexity"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionSwaggerExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionSwaggerExample.java","3","75","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"5","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDefinitionSwaggerExample.java","3","785","The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)","Design","DataClass"
"1","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResource.java","3","13","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"2","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResource.java","3","18","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"3","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResource.java","3","23","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
"4","io.metersphere.api.domain","C:\User\pavan\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResource.java","3","28","Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1)","Design","LawOfDemeter"
