"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client-tls-tests\src\test\java\org\springframework\cloud\netflix\eureka\AppRunner.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client-tls-tests\src\test\java\org\springframework\cloud\netflix\eureka\BaseCertTests.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client-tls-tests\src\test\java\org\springframework\cloud\netflix\eureka\KeyAndCert.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\CloudEurekaTransportConfig.java","3","27","The class 'CloudEurekaTransportConfig' is suspected to be a Data Class (WOC=13.793%, NOPA=0, NOAM=25, WMC=32)","Design","DataClass"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaClientAutoConfiguration.java","3","149","The method 'eurekaInstanceConfigBean(InetUtils, ManagementMetadataProvider)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaClientAutoConfiguration.java","3","149","The method 'eurekaInstanceConfigBean(InetUtils, ManagementMetadataProvider)' has an NPath complexity of 256, current threshold is 200","Design","NPathComplexity"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaClientConfigBean.java","3","47","The class 'EurekaClientConfigBean' has a total cyclomatic complexity of 125 (highest 6).","Design","CyclomaticComplexity"
"2","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaClientConfigBean.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaClientConfigBean.java","3","933","The method 'equals(Object)' has an NPath complexity of 282, current threshold is 200","Design","NPathComplexity"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBean.java","3","44","The class 'EurekaInstanceConfigBean' has a total cyclomatic complexity of 80 (highest 4).","Design","CyclomaticComplexity"
"2","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBean.java","3","319","Access to field `override` on foreign value `this.hostInfo` (degree 1)","Design","LawOfDemeter"
"3","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBean.java","3","324","Access to field `override` on foreign value `this.hostInfo` (degree 1)","Design","LawOfDemeter"
"4","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBean.java","3","329","Access to field `override` on foreign value `this.hostInfo` (degree 1)","Design","LawOfDemeter"
"5","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBean.java","3","349","Avoid unused private methods such as 'getHostInfo()'.","Best Practices","UnusedPrivateMethod"
"6","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBean.java","3","353","Avoid unused private methods such as 'setHostInfo(HostInfo)'.","Best Practices","UnusedPrivateMethod"
"7","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBean.java","3","357","Avoid unused private methods such as 'getInetUtils()'.","Best Practices","UnusedPrivateMethod"
"8","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBean.java","3","361","Avoid unused private methods such as 'setInetUtils(InetUtils)'.","Best Practices","UnusedPrivateMethod"
"1","org.springframework.cloud.netflix.eureka.http","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\http\WebClientEurekaHttpClient.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.springframework.cloud.netflix.eureka.http","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\http\WebClientEurekaHttpClient.java","3","238","Avoid unused private methods such as 'ignoreError(ClientResponse)'.","Best Practices","UnusedPrivateMethod"
"3","org.springframework.cloud.netflix.eureka.http","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\main\java\org\springframework\cloud\netflix\eureka\http\WebClientEurekaHttpClient.java","3","250","Avoid unused private methods such as 'eurekaHttpResponse(ResponseEntity<?>)'.","Best Practices","UnusedPrivateMethod"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\EurekaClientAutoConfigurationTests.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\EurekaHealthCheckHandlerTests.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.cloud.netflix.eureka","C:\User\pavan\Projects\spring-cloud-netflix\spring-cloud-netflix-eureka-client\src\test\java\org\springframework\cloud\netflix\eureka\EurekaInstanceConfigBeanTests.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
