"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.jboss.as.appclient.deployment","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\deployment\ActiveApplicationClientProcessor.java","3","38","The method 'deploy(DeploymentPhaseContext)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.jboss.as.appclient.deployment","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\deployment\AppClientAttachments.java","3","14","The class 'AppClientAttachments' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","org.jboss.as.appclient.deployment","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\deployment\ApplicationClientStartProcessor.java","3","48","Avoid unused local variables such as 'appClientData'.","Best Practices","UnusedLocalVariable"
"1","org.jboss.as.appclient.deployment","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\deployment\ApplicationClientStructureProcessor.java","3","43","The method 'deploy(DeploymentPhaseContext)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.jboss.as.appclient.logging","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\logging\AppClientLogger.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.jboss.as.appclient.service","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\service\ApplicationClientStartService.java","3","71","The method 'run()' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.jboss.as.appclient.subsystem","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\AppClientSubsystemAdd.java","3","66","Access to field `ATTRIBUTES` on foreign value `AppClientSubsystemResourceDefinition` (degree 1)","Design","LawOfDemeter"
"1","org.jboss.as.appclient.subsystem","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\Constants.java","3","10","The class 'Constants' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=0)","Design","DataClass"
"1","org.jboss.as.appclient.subsystem","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\Main.java","3","89","Access to field `clientArguments` on foreign value `options` (degree 1)","Design","LawOfDemeter"
"2","org.jboss.as.appclient.subsystem","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\Main.java","3","115","Call to `getStability` on foreign value `serverEnvironment` (degree 2)","Design","LawOfDemeter"
"3","org.jboss.as.appclient.subsystem","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\Main.java","3","152","The method 'determineEnvironment(String[], Properties, Map<String, String>, LaunchType)' has a cyclomatic complexity of 46.","Design","CyclomaticComplexity"
"4","org.jboss.as.appclient.subsystem","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\Main.java","3","155","Access to field `clientArguments` on foreign value `ret` (degree 1)","Design","LawOfDemeter"
"5","org.jboss.as.appclient.subsystem","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\Main.java","3","272","Access to field `environment` on foreign value `ret` (degree 1)","Design","LawOfDemeter"
"1","org.jboss.as.appclient.subsystem.parsing","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\parsing\AppClientXml_All.java","3","53","The class 'AppClientXml_All' has a total cyclomatic complexity of 85 (highest 18).","Design","CyclomaticComplexity"
"2","org.jboss.as.appclient.subsystem.parsing","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\parsing\AppClientXml_All.java","3","94","The method 'readServerElement_1_0(XMLExtendedStreamReader, ModelNode, List<ModelNode>)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"3","org.jboss.as.appclient.subsystem.parsing","C:\User\pavan\Projects\wildfly\appclient\src\main\java\org\jboss\as\appclient\subsystem\parsing\AppClientXml_All.java","3","94","The method 'readServerElement_1_0(XMLExtendedStreamReader, ModelNode, List<ModelNode>)' has an NPath complexity of 768, current threshold is 200","Design","NPathComplexity"
